* Measurement data measured by REW V5.30 beta 4
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 5, 2023 12:13:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Conch Black 400 Tape
* Measurement: Conch Black 400 Tape
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
137.329102 82.252 154.6479
137.695312 82.020 155.2541
138.061523 81.978 156.8198
138.427734 82.197 157.8527
138.793945 82.518 157.1334
139.160156 82.708 154.7641
139.526367 82.628 151.8588
139.892578 82.282 149.8434
140.258789 81.829 149.8143
140.625000 81.519 151.7617
140.991211 81.510 154.2706
141.357422 81.710 155.7668
141.723633 81.904 155.9505
142.089844 81.964 155.6270
142.456055 81.909 155.7516
142.822266 81.859 156.6784
143.188477 81.916 157.9338
143.554688 82.071 158.7280
143.920898 82.228 158.7151
144.287109 82.304 158.1626
144.653320 82.283 157.5692
145.019531 82.209 157.2532
145.385742 82.133 157.2020
145.751953 82.079 157.2141
146.118164 82.043 157.1311
146.484375 82.016 156.9039
146.850586 81.996 156.4953
147.216797 81.969 155.8467
147.583008 81.906 155.0142
147.949219 81.786 154.3037
148.315430 81.642 154.1523
148.681641 81.571 154.6949
149.047852 81.667 155.3513
149.414062 81.905 155.1000
149.780273 82.126 153.3916
150.146484 82.146 150.6642
150.512695 81.868 148.1472
150.878906 81.343 147.4028
151.245117 80.823 149.5303
151.611328 80.663 153.7969
151.977539 80.977 157.5142
152.343750 81.485 158.7407
152.709961 81.854 157.8085
153.076172 81.941 156.1967
153.442383 81.794 155.3279
153.808594 81.588 155.8849
154.174805 81.504 157.4288
154.541016 81.592 158.7838
154.907227 81.744 159.1266
155.273438 81.819 158.5318
155.639648 81.751 157.6261
156.005859 81.553 157.0744
156.372070 81.292 157.2943
156.738281 81.055 158.3813
157.104492 80.922 160.1324
157.470703 80.950 162.0699
157.836914 81.147 163.5245
158.203125 81.448 163.9061
158.569336 81.744 163.0313
158.935547 81.934 161.2159
159.301758 81.968 159.0973
159.667969 81.865 157.3481
160.034180 81.702 156.3799
160.400391 81.567 156.1385
160.766602 81.504 156.1913
161.132812 81.485 156.1423
161.499023 81.454 155.9837
161.865234 81.389 156.0381
162.231445 81.333 156.5827
162.597656 81.354 157.4840
162.963867 81.478 158.1964
163.330078 81.649 158.2033
163.696289 81.766 157.4542
164.062500 81.759 156.3944
164.428711 81.622 155.6863
164.794922 81.428 155.8395
165.161133 81.292 156.8612
165.527344 81.294 158.1615
165.893555 81.416 158.9550
166.259766 81.561 158.8539
166.625977 81.633 158.0615
166.992188 81.588 157.1368
167.358398 81.455 156.6411
167.724609 81.312 156.8320
168.090820 81.238 157.5108
168.457031 81.261 158.1742
168.823242 81.340 158.4137
169.189453 81.410 158.1920
169.555664 81.433 157.7794
169.921875 81.413 157.4926
170.288086 81.390 157.4618
170.654297 81.392 157.5690
171.020508 81.422 157.5946
171.386719 81.451 157.4333
171.752930 81.453 157.1770
172.119141 81.424 157.0137
172.485352 81.387 157.0564
172.851562 81.366 157.2493
173.217773 81.368 157.4308
173.583984 81.377 157.4894
173.950195 81.372 157.4564
174.316406 81.350 157.4557
174.682617 81.325 157.5727
175.048828 81.315 157.7679
175.415039 81.327 157.9138
175.781250 81.347 157.9162
176.147461 81.357 157.7968
176.513672 81.352 157.6605
176.879883 81.341 157.5901
177.246094 81.339 157.5695
177.612305 81.349 157.5052
177.978516 81.361 157.3263
178.344727 81.356 157.0621
178.710938 81.327 156.8289
179.077148 81.282 156.7433
179.443359 81.239 156.8397
179.809570 81.212 157.0574
180.175781 81.205 157.3014
180.541992 81.210 157.5130
180.908203 81.222 157.6841
181.274414 81.237 157.8170
181.640625 81.257 157.8889
182.006836 81.274 157.8694
182.373047 81.279 157.7712
182.739258 81.265 157.6727
183.105469 81.239 157.6736
183.471680 81.220 157.8060
183.837891 81.226 157.9796
184.204102 81.259 158.0282
184.570312 81.296 157.8355
184.936523 81.311 157.4343
185.302734 81.288 156.9918
185.668945 81.235 156.6976
186.035156 81.178 156.6326
186.401367 81.142 156.7195
186.767578 81.130 156.8027
187.133789 81.125 156.7950
187.500000 81.109 156.7517
187.866211 81.083 156.8031
188.232422 81.067 157.0051
188.598633 81.080 157.2477
188.964844 81.119 157.3271
189.331055 81.150 157.1364
189.697266 81.140 156.7928
190.063477 81.079 156.5756
190.429688 81.001 156.7114
190.795898 80.957 157.1550
191.162109 80.973 157.5734
191.528320 81.022 157.6172
191.894531 81.041 157.2451
192.260742 80.989 156.7824
192.626953 80.885 156.6732
192.993164 80.802 157.0902
193.359375 80.813 157.6840
193.725586 80.913 157.7974
194.091797 81.011 157.0480
194.458008 80.997 155.6835
194.824219 80.822 154.4545
195.190430 80.537 154.2038
195.556641 80.288 155.3123
195.922852 80.227 157.2355
196.289062 80.384 158.7804
196.655273 80.634 159.1304
197.021484 80.823 158.4041
197.387695 80.876 157.3182
197.753906 80.818 156.6001
198.120117 80.737 156.5547
198.486328 80.711 156.9344
198.852539 80.749 157.2364
199.218750 80.797 157.1976
199.584961 80.801 156.9855
199.951172 80.759 156.9684
200.317383 80.719 157.3409
200.683594 80.733 157.9171
201.049805 80.808 158.2816
201.416016 80.893 158.1674
201.782227 80.929 157.6713
202.148438 80.892 157.1447
202.514648 80.806 156.9198
202.880859 80.723 157.0819
203.247070 80.681 157.4344
203.613281 80.682 157.6873
203.979492 80.694 157.6970
204.345703 80.687 157.5386
204.711914 80.656 157.3888
205.078125 80.617 157.3636
205.444336 80.589 157.4440
205.810547 80.580 157.5269
206.176758 80.582 157.5353
206.542969 80.582 157.4777
206.909180 80.577 157.4163
207.275391 80.570 157.3951
207.641602 80.570 157.4014
208.007812 80.576 157.3911
208.374023 80.581 157.3438
208.740234 80.579 157.2896
209.106445 80.569 157.2831
209.472656 80.560 157.3513
209.838867 80.560 157.4635
210.205078 80.570 157.5515
210.571289 80.581 157.5662
210.937500 80.582 157.5206
211.303711 80.568 157.4854
211.669922 80.543 157.5389
212.036133 80.522 157.7073
212.402344 80.519 157.9348
212.768555 80.536 158.1118
213.134766 80.565 158.1420
213.500977 80.589 158.0008
213.867188 80.592 157.7463
214.233398 80.571 157.4822
214.599609 80.531 157.3000
214.965820 80.486 157.2372
215.332031 80.448 157.2703
215.698242 80.420 157.3439
216.064453 80.401 157.4106
216.430664 80.386 157.4556
216.796875 80.371 157.4913
217.163086 80.358 157.5355
217.529297 80.347 157.5929
217.895508 80.341 157.6511
218.261719 80.339 157.6916
218.627930 80.338 157.7041
